gouvernorat,delegation,prix,superficie,chambres,salle_de_bains,etat,etage
tunis,Ain Zaghouan,865000.0,160,2.0,2.0,Nouveau,
tunis,Ariana Ville,,115,2.0,2.0,Nouveau,
tunis,Ariana Ville,788000.0,170,3.0,3.0,1-5 ans,
tunis,Ariana Ville,530000.0,153,3.0,2.0,Bon état,
tunis,Ain Zaghouan,564000.0,120,2.0,2.0,Nouveau,
tunis,Le Bardo,280000.0,97,2.0,1.0,10-20 ans,4ème
tunis,Ariana Ville,790000.0,230,3.0,2.0,Bon état,
tunis,Ariana Ville,1600000.0,200,3.0,2.0,1-5 ans,
tunis,Ain Zaghouan,750000.0,102,2.0,1.0,Nouveau,
tunis,Aouina,260000.0,100,2.0,1.0,Nouveau,
tunis,Gammarth,680000.0,120,1.0,1.0,Bon état,1er
tunis,Ariana Ville,780000.0,172,4.0,3.0,Moins d'un an,
tunis,Ariana Ville,437000.0,99,2.0,2.0,Moins d'un an,
tunis,Ariana Ville,590000.0,136,3.0,3.0,Moins d'un an,
tunis,Ariana Ville,668000.0,126,2.0,2.0,Nouveau,
tunis,Cite El Khadra,304000.0,160,3.0,1.0,Bon état,2ème
tunis,Ariana Ville,620000.0,136,3.0,3.0,Moins d'un an,
tunis,Les Berges Du Lac,,289,3.0,3.0,Moins d'un an,4ème
tunis,Ariana Ville,,1,2.0,,Nouveau,
tunis,Ain Zaghouan,635000.0,167,3.0,3.0,Moins d'un an,2ème
tunis,Ariana Ville,990000.0,200,3.0,2.0,Bon état,
tunis,Ariana Ville,410000.0,70,1.0,1.0,Bon état,
tunis,Ariana Ville,340000.0,100,,,,
tunis,Bab Bhar,110000.0,41,2.0,1.0,Bon état,1er
tunis,Ariana Ville,570000.0,75,,,,
tunis,Ariana Ville,550000.0,155,3.0,2.0,5-10 ans,3ème
tunis,Ariana Ville,400000.0,68,2.0,1.0,10-20 ans,2ème
tunis,Ariana Ville,415000.0,115,2.0,2.0,Bon état,
tunis,El Manar,470000.0,180,3.0,2.0,20-30 ans,
tunis,Ain Zaghouan,390000.0,206,2.0,2.0,10-20 ans,
tunis,Ain Zaghouan,245000.0,43,1.0,1.0,Moins d'un an,
tunis,Aouina,250000.0,109,2.0,1.0,10-20 ans,6ème
tunis,Les Berges Du Lac,820000.0,180,3.0,3.0,5-10 ans,3ème
tunis,Aouina,175000.0,73,1.0,1.0,10-20 ans,3ème
tunis,El Ouardia,210000.0,97,2.0,1.0,10-20 ans,6ème
tunis,Ariana Ville,1320000.0,185,3.0,3.0,Moins d'un an,
tunis,Ariana Ville,450000.0,83,2.0,1.0,Moins d'un an,3ème
tunis,Ariana Ville,3000000.0,510,4.0,3.0,1-5 ans,4ème
tunis,Ariana Ville,680000.0,4,2.0,,1-5 ans,10ème
tunis,Ariana Ville,900000.0,485,12.0,6.0,Bon état,
tunis,Ariana Ville,,330,4.0,3.0,Nouveau,
tunis,Gammarth,1850000.0,4,2.0,,Moins d'un an,
tunis,Les Berges Du Lac,,224,4.0,3.0,Nouveau,
tunis,Aouina,370000.0,142,3.0,2.0,Moins d'un an,3ème
tunis,Ain Zaghouan,635000.0,167,3.0,3.0,Moins d'un an,1er
tunis,Ariana Ville,,149,3.0,3.0,Moins d'un an,2ème
tunis,Ariana Ville,,190,3.0,2.0,1-5 ans,1er
tunis,Ariana Ville,1150000.0,194,4.0,4.0,Moins d'un an,3ème
tunis,Ariana Ville,506000.0,92,,,Moins d'un an,
tunis,Ariana Ville,724000.0,137,2.0,2.0,Moins d'un an,1er
tunis,Les Berges Du Lac,380000.0,74,1.0,1.0,1-5 ans,
tunis,Bab Bhar,230000000.0,114,3.0,1.0,Bon état,2ème
tunis,Gammarth,,206,3.0,2.0,Nouveau,
tunis,Ariana Ville,650000.0,220,4.0,1.0,Nouveau,
tunis,Ariana Ville,855000.0,172,3.0,2.0,Nouveau,
tunis,Ariana Ville,850000.0,208,3.0,2.0,Nouveau,
tunis,Les Berges Du Lac,1000000.0,238,3.0,2.0,Nouveau,
tunis,Gammarth,410000.0,149,,,,
tunis,Ariana Ville,750000.0,84,,,,
tunis,Ariana Ville,950000.0,360,4.0,3.0,1-5 ans,
tunis,Ain Zaghouan,400000.0,85,1.0,1.0,Nouveau,
tunis,Ariana Ville,276000.0,67,,,,
tunis,El Menzah 7,450000.0,145,4.0,2.0,À rénover,
tunis,Cite El Khadra,290000.0,120,3.0,2.0,1-5 ans,4ème
tunis,Ariana Ville,370000.0,75,2.0,1.0,Bon état,
tunis,Ain Zaghouan,410000.0,137,3.0,2.0,Bon état,
tunis,Ain Zaghouan,575000.0,146,2.0,2.0,Bon état,
tunis,Les Berges Du Lac,1000000.0,220,3.0,2.0,Nouveau,
tunis,Aouina,227500.0,65,1.0,1.0,Moins d'un an,4ème
tunis,El Menzah 7,450000.0,120,4.0,1.0,Bon état,
tunis,El Manar,220000.0,100,3.0,1.0,À rénover,
tunis,Ain Zaghouan,620000.0,202,4.0,3.0,Bon état,7ème
tunis,Gammarth,950000.0,150,2.0,2.0,Bon état,1er
tunis,Ariana Ville,1801110.0,273,4.0,5.0,Nouveau,
tunis,Ariana Ville,650000.0,147,2.0,2.0,Nouveau,
tunis,Ariana Ville,1263000.0,190,3.0,3.0,Moins d'un an,3ème
tunis,Ariana Ville,300000.0,30,1.0,1.0,Moins d'un an,
tunis,Les Berges Du Lac,,271,3.0,3.0,Moins d'un an,
tunis,Ain Zaghouan,370000.0,127,2.0,2.0,Nouveau,
tunis,Ariana Ville,820000.0,152,3.0,3.0,Moins d'un an,1er
tunis,Sidi Hassine,112470.0,69,1.0,1.0,Nouveau,
tunis,Ariana Ville,580000.0,155,,,,
tunis,El Menzah 7,,195,3.0,4.0,Nouveau,1er
tunis,Ariana Ville,950000.0,5,2.0,,Nouveau,
tunis,Aouina,240000.0,64,1.0,1.0,1-5 ans,4ème
tunis,Aouina,375000.0,156,3.0,2.0,5-10 ans,6ème
tunis,Ain Zaghouan,330000.0,87,1.0,1.0,Bon état,1er
tunis,Ariana Ville,,182,3.0,2.0,Nouveau,
tunis,El Ouardia,125000.0,25,1.0,1.0,1-5 ans,4ème
tunis,Les Berges Du Lac,,115,2.0,2.0,Nouveau,
tunis,El Ouardia,120000.0,87,2.0,1.0,Bon état,
tunis,Ariana Ville,928000.0,150,2.0,3.0,Moins d'un an,3ème
tunis,Ain Zaghouan,350000.0,74,1.0,1.0,Moins d'un an,
tunis,Aouina,408000.0,150,3.0,2.0,Nouveau,
tunis,Ariana Ville,970000.0,187,4.0,2.0,1-5 ans,
tunis,Ain Zaghouan,318000.0,146,3.0,1.0,10-20 ans,2ème
tunis,Ain Zaghouan,486000.0,131,2.0,2.0,Moins d'un an,1er
tunis,Gammarth,900000.0,115,1.0,,5-10 ans,
tunis,Ain Zaghouan,645000.0,158,4.0,2.0,Bon état,
tunis,Ain Zaghouan,710000.0,198,2.0,2.0,Moins d'un an,2ème
tunis,Ariana Ville,,121,2.0,2.0,Moins d'un an,
tunis,Bab El Khadra,265000.0,120,3.0,2.0,Bon état,
tunis,Ariana Ville,220000.0,156,3.0,2.0,1-5 ans,2ème
tunis,Aouina,400000.0,127,2.0,2.0,Bon état,
tunis,Les Berges Du Lac,850000.0,180,3.0,3.0,Bon état,
tunis,Gammarth,,242,3.0,2.0,Moins d'un an,
tunis,Ariana Ville,290000.0,85,1.0,1.0,Nouveau,
tunis,Sidi Hassine,195860.0,121,3.0,1.0,Moins d'un an,
tunis,Ariana Ville,,115,2.0,2.0,Nouveau,
tunis,Ariana Ville,570000.0,264,,,,
tunis,Ariana Ville,980000.0,288,5.0,3.0,Bon état,
tunis,Gammarth,,147,2.0,1.0,Nouveau,
tunis,Ariana Ville,,243,4.0,3.0,Moins d'un an,3ème
tunis,Les Berges Du Lac,325000.0,80,2.0,1.0,Bon état,
tunis,Ariana Ville,309000.0,51,1.0,1.0,Nouveau,
tunis,Ariana Ville,820000.0,247,4.0,3.0,Bon état,
tunis,Ariana Ville,,94,2.0,2.0,Moins d'un an,
tunis,Ariana Ville,450000.0,134,3.0,2.0,Bon état,
tunis,El Menzah 7,,140,2.0,2.0,Moins d'un an,2ème
tunis,Ain Zaghouan,,129,2.0,1.0,Moins d'un an,
tunis,Ain Zaghouan,970000.0,291,3.0,3.0,Moins d'un an,
tunis,Ariana Ville,440000.0,70,1.0,1.0,Nouveau,
tunis,Aouina,370000.0,148,3.0,2.0,Bon état,
tunis,Ain Zaghouan,514000.0,161,3.0,3.0,Moins d'un an,4ème
tunis,Ariana Ville,,92,2.0,1.0,Moins d'un an,
tunis,Gammarth,,242,3.0,2.0,Moins d'un an,6ème
tunis,Ariana Ville,295896.0,51,2.0,1.0,Moins d'un an,2ème
tunis,Ariana Ville,270000.0,81,2.0,1.0,Moins d'un an,
tunis,Les Berges Du Lac,500000.0,137,2.0,2.0,5-10 ans,8ème
tunis,Gammarth,,191,3.0,1.0,Nouveau,
tunis,Gammarth,580000.0,158,3.0,1.0,Nouveau,
tunis,Ariana Ville,,80,1.0,1.0,1-5 ans,3ème
tunis,Ariana Ville,748000.0,166,3.0,2.0,Nouveau,
tunis,Gammarth,,396,3.0,1.0,Nouveau,
tunis,Gammarth,500000.0,160,3.0,2.0,5-10 ans,3ème
tunis,Ariana Ville,592600.0,126,2.0,2.0,Nouveau,
tunis,Les Berges Du Lac,,158,3.0,1.0,Nouveau,
tunis,Ariana Ville,393000.0,119,3.0,2.0,Moins d'un an,
tunis,Les Berges Du Lac,,151,3.0,1.0,Nouveau,
tunis,Gammarth,420000.0,140,2.0,1.0,Nouveau,
tunis,Les Berges Du Lac,,126,3.0,1.0,Nouveau,
tunis,Cite El Khadra,245000.0,100,3.0,1.0,Bon état,
tunis,El Menzah 7,380000.0,114,2.0,2.0,Nouveau,
tunis,Les Berges Du Lac,660000.0,130,2.0,1.0,Bon état,
tunis,Les Berges Du Lac,850000.0,171,2.0,2.0,1-5 ans,
tunis,Ariana Ville,413000.0,85,1.0,1.0,Moins d'un an,
tunis,Ain Zaghouan,325000.0,101,4.0,1.0,Nouveau,
tunis,Le Bardo,205000.0,123,3.0,2.0,10-20 ans,2ème
tunis,Ain Zaghouan,785000.0,160,3.0,2.0,Bon état,
tunis,Ain Zaghouan,350000.0,135,2.0,2.0,Bon état,
tunis,Ain Zaghouan,,157,3.0,3.0,Moins d'un an,
tunis,Aouina,410000.0,129,1.0,1.0,Bon état,
tunis,Ain Zaghouan,238000.0,60,1.0,,Nouveau,
tunis,Ariana Ville,490000.0,113,2.0,2.0,Bon état,
tunis,Les Berges Du Lac,860000.0,195,3.0,2.0,5-10 ans,1er
tunis,Ariana Ville,,145,3.0,2.0,Moins d'un an,
tunis,Ariana Ville,679000.0,266,,,,
tunis,Ain Zaghouan,1100000.0,218,,,,
tunis,Les Berges Du Lac,1300000.0,202,,,,
tunis,Ariana Ville,594000.0,132,2.0,2.0,Nouveau,
tunis,Ain Zaghouan,455000.0,123,2.0,2.0,Nouveau,
tunis,Ariana Ville,380000.0,84,1.0,1.0,Bon état,
tunis,Aouina,370000.0,147,3.0,2.0,Bon état,
tunis,Aouina,295000.0,155,4.0,1.0,Bon état,
tunis,Aouina,239000.0,70,1.0,1.0,Moins d'un an,1er
tunis,Aouina,399000.0,157,3.0,2.0,Nouveau,
tunis,Aouina,210000.0,50,1.0,1.0,Nouveau,
tunis,Ariana Ville,450000.0,120,2.0,2.0,Moins d'un an,1er
tunis,Ariana Ville,380000.0,93,2.0,1.0,Bon état,1er
tunis,Ariana Ville,800000.0,224,,,,
tunis,Ain Zaghouan,745000.0,170,3.0,2.0,Nouveau,
tunis,Aouina,175000.0,50,1.0,1.0,1-5 ans,1er
tunis,Ain Zaghouan,310000.0,130,2.0,2.0,Bon état,
tunis,Ariana Ville,420000.0,130,,,,
tunis,Ariana Ville,530000.0,154,3.0,3.0,Bon état,
tunis,Ariana Ville,,50,1.0,1.0,1-5 ans,1er
tunis,Ariana Ville,420000.0,70,1.0,1.0,Moins d'un an,
tunis,Aouina,,117,3.0,2.0,Moins d'un an,
tunis,Ariana Ville,1800000.0,300,3.0,3.0,Moins d'un an,
tunis,Ain Zaghouan,250000.0,104,2.0,1.0,Bon état,
tunis,Gammarth,800000.0,118,1.0,1.0,Nouveau,
tunis,Ariana Ville,350000.0,140,,,,
tunis,Ariana Ville,695000.0,149,3.0,3.0,1-5 ans,1er
tunis,Ariana Ville,,54,1.0,1.0,Moins d'un an,1er
tunis,Ariana Ville,1025000.0,153,2.0,3.0,Moins d'un an,2ème
tunis,Ariana Ville,724000.0,137,2.0,2.0,Moins d'un an,2ème
tunis,El Menzah 7,,117,2.0,2.0,Moins d'un an,1er
tunis,Ain Zaghouan,,154,3.0,3.0,Moins d'un an,
tunis,Gammarth,350000.0,63,1.0,1.0,Nouveau,
tunis,Ariana Ville,850000.0,150,,,,
tunis,Gammarth,375000.0,130,2.0,1.0,Moins d'un an,1er
